"(0.039999999999999994, 0.45666666666666667)"
"(0.13636363636363635, 0.5)"
"(-0.4, 0.65)"
"(0.4, 1.0)"
"(0.0, 0.125)"
"(0.0, 0.0)"
"(0.16590909090909092, 0.5)"
"(0.1, 0.15)"
"(0.4, 0.4)"
"(0.3416666666666667, 0.6499999999999999)"
"(0.5, 1.0)"
"(0.6, 0.6)"
"(0.1, 0.15000000000000002)"
"(-0.12000000000000001, 0.47)"
"(0.2, 0.3)"
"(0.2392857142857143, 0.6178571428571429)"
"(0.46875, 0.475)"
"(0.0, 0.55)"
"(0.03333333333333333, 0.6333333333333333)"
"(0.03333333333333333, 0.20000000000000004)"
"(0.0, 0.1)"
"(0.24444444444444446, 0.48888888888888893)"
"(0.1280952380952381, 0.2561904761904762)"
"(0.3252083333333334, 0.43875000000000003)"
"(0.12470238095238097, 0.6275297619047618)"
"(0.3666666666666667, 0.9500000000000001)"
"(0.49375, 0.6625)"
"(0.04845238095238095, 0.4176190476190476)"
"(0.061428571428571464, 0.6398412698412699)"
"(0.11953125, 0.41145833333333337)"
"(0.3279761904761905, 0.32976190476190476)"
"(0.28296875, 0.5375)"
"(0.3988095238095238, 0.6495039682539683)"
"(0.4375, 0.7)"
"(-0.125, 0.375)"
"(-0.075, 0.325)"
"(-0.1, 0.2)"
"(0.14426406926406926, 0.5544372294372294)"
"(0.13181818181818183, 0.44886363636363635)"
"(0.25166666666666665, 0.4844444444444445)"
"(0.1727435064935065, 0.5576190476190477)"
"(0.16875, 0.60625)"
"(0.8, 0.75)"
"(0.7, 0.6000000000000001)"
"(0.26875, 0.325)"
"(0.45740740740740743, 0.8231481481481481)"
"(0.34375, 0.475)"
"(0.28, 0.72)"
"(0.0, 0.0)"
"(0.5, 0.5)"
"(0.0, 0.0)"
"(0.08, 0.26999999999999996)"
"(-0.045, 0.39499999999999996)"
"(0.8, 0.75)"
"(-0.25, 1.0)"
"(0.1461111111111111, 0.7916666666666666)"
"(0.20204081632653062, 0.5006802721088436)"
"(-0.0004166666666666624, 0.48208333333333336)"
"(0.15, 0.35000000000000003)"
"(0.4138095238095238, 0.6166666666666666)"
"(0.3015625, 0.4625)"
"(0.5671428571428572, 0.6339285714285714)"
